Time,Initial Gas Value,Processed Gas Value,State,Warning time period(s)
2025-06-09 15:43:15,0.03370786516853941,9,Safe,1
2025-06-09 15:43:16,0.03175378602833412,8,Safe,2
2025-06-09 15:43:17,0.03370786516853941,9,Safe,3
2025-06-09 15:43:18,0.03370786516853941,9,Safe,4
2025-06-09 15:43:19,0.03468490473864194,9,Safe,5
2025-06-09 15:43:20,0.03370786516853941,9,Safe,6
2025-06-09 15:43:21,0.03370786516853941,9,Safe,7
2025-06-09 15:43:22,0.03370786516853941,9,Safe,8
2025-06-09 15:43:23,0.03370786516853941,9,Safe,9
2025-06-09 15:43:24,0.03370786516853941,9,Safe,10
2025-06-09 15:43:25,0.03370786516853941,9,Safe,11
2025-06-09 15:43:26,0.03370786516853941,9,Safe,12
2025-06-09 15:43:27,0.03273082559843665,8,Safe,13
2025-06-09 15:43:28,0.03273082559843665,8,Safe,14
2025-06-09 15:43:29,0.03370786516853941,9,Safe,15
2025-06-09 15:43:30,0.03468490473864194,9,Safe,16
2025-06-09 15:43:31,0.03370786516853941,9,Safe,17
2025-06-09 15:43:32,0.03370786516853941,9,Safe,18
2025-06-09 15:43:33,0.03370786516853941,9,Safe,19
2025-06-09 15:43:34,0.03370786516853941,9,Safe,20
2025-06-09 15:43:35,0.03370786516853941,9,Safe,21
2025-06-09 15:43:36,0.03370786516853941,9,Safe,22
2025-06-09 15:43:37,0.03370786516853941,9,Safe,23
